[ 2026-04-23 21:27:25,880 ] 26 root - INFO - Entered data ingestion
[ 2026-04-23 21:27:33,379 ] 37 root - INFO - Data ingestion completed
[ 2026-04-23 21:27:33,422 ] 25 root - INFO - Reading train and test data
[ 2026-04-23 21:27:35,432 ] 30 root - INFO - Splitting features and labels
[ 2026-04-23 21:27:35,528 ] 39 root - INFO - Applying normalization
[ 2026-04-23 21:27:35,652 ] 44 root - INFO - Reshaping into 28x28 images
[ 2026-04-23 21:27:35,652 ] 49 root - INFO - One-hot encoding labels
[ 2026-04-23 21:27:35,653 ] 54 root - INFO - Data transformation completed
[ 2026-04-23 21:27:35,688 ] 23 root - INFO - Building CNN model
[ 2026-04-23 21:27:35,746 ] 38 root - INFO - Compiling model
[ 2026-04-23 21:27:35,748 ] 464 tensorflow - WARNING - TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
[ 2026-04-23 21:27:35,750 ] 46 root - INFO - Training model
[ 2026-04-23 21:28:05,582 ] 56 root - INFO - Evaluating model
[ 2026-04-23 21:28:05,950 ] 59 root - INFO - Test Accuracy: 0.9925992488861084
[ 2026-04-23 21:28:05,951 ] 63 root - INFO - Saving model
