[ 2026-04-21 21:47:50,438 ] 26 root - INFO - Entered data ingestion
[ 2026-04-21 21:47:57,868 ] 37 root - INFO - Data ingestion completed
[ 2026-04-21 21:47:57,924 ] 25 root - INFO - Reading train and test data
[ 2026-04-21 21:47:59,901 ] 30 root - INFO - Splitting features and labels
[ 2026-04-21 21:48:00,007 ] 39 root - INFO - Applying normalization
[ 2026-04-21 21:48:00,179 ] 44 root - INFO - Reshaping into 28x28 images
[ 2026-04-21 21:48:00,179 ] 49 root - INFO - One-hot encoding labels
[ 2026-04-21 21:48:00,180 ] 54 root - INFO - Data transformation completed
[ 2026-04-21 21:48:00,237 ] 35 root - INFO - Setting random seeds for reproducibility
[ 2026-04-21 21:48:00,238 ] 45 root - INFO - Creating fixed validation split
[ 2026-04-21 21:48:00,502 ] 54 root - INFO - Building CNN model
[ 2026-04-21 21:48:00,549 ] 76 root - INFO - Compiling model
[ 2026-04-21 21:48:00,551 ] 464 tensorflow - WARNING - TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
[ 2026-04-21 21:48:00,552 ] 96 root - INFO - Training model
[ 2026-04-21 21:49:06,260 ] 111 root - INFO - Evaluating model
[ 2026-04-21 21:49:06,726 ] 114 root - INFO - Test Accuracy: 0.9890989065170288
[ 2026-04-21 21:49:06,727 ] 121 root - INFO - Saving model
