[ 2026-04-21 21:52:38,237 ] 26 root - INFO - Entered data ingestion
[ 2026-04-21 21:52:45,745 ] 37 root - INFO - Data ingestion completed
[ 2026-04-21 21:52:45,798 ] 25 root - INFO - Reading train and test data
[ 2026-04-21 21:52:47,758 ] 30 root - INFO - Splitting features and labels
[ 2026-04-21 21:52:47,855 ] 39 root - INFO - Applying normalization
[ 2026-04-21 21:52:47,991 ] 44 root - INFO - Reshaping into 28x28 images
[ 2026-04-21 21:52:47,992 ] 49 root - INFO - One-hot encoding labels
[ 2026-04-21 21:52:47,993 ] 54 root - INFO - Data transformation completed
[ 2026-04-21 21:52:48,043 ] 35 root - INFO - Setting random seeds for reproducibility
[ 2026-04-21 21:52:48,044 ] 45 root - INFO - Creating fixed validation split
[ 2026-04-21 21:52:48,320 ] 54 root - INFO - Building CNN model
[ 2026-04-21 21:52:48,372 ] 76 root - INFO - Compiling model
[ 2026-04-21 21:52:48,374 ] 464 tensorflow - WARNING - TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
[ 2026-04-21 21:52:48,375 ] 96 root - INFO - Training model
[ 2026-04-21 21:53:54,582 ] 111 root - INFO - Evaluating model
[ 2026-04-21 21:53:55,064 ] 114 root - INFO - Test Accuracy: 0.9890989065170288
[ 2026-04-21 21:53:55,064 ] 121 root - INFO - Saving model
